pid,address_point_id,address,addr_key,local_area,lat_lon
,__FJ0VX6,,,Riley Park,"49.24242880226726, -123.09540753053709"
,__FJ0VXU,,,Riley Park,"49.24169640161491, -123.09650050417893"
,__FJ0VYO,,,Riley Park,"49.241879146075064, -123.09482009488887"
007282991,__FIYI6I,,,Dunbar-Southlands,"49.25068435156587, -123.1944311151485"
007283016,__FIYI6K,,,Dunbar-Southlands,"49.250689498154685, -123.19579919365931"
,__FIY58U,,,Dunbar-Southlands,"49.21841872835722, -123.18358837518262"
,__FIY410,,,Kitsilano,"49.27365457880627, -123.1854484672543"
,__FJ0PJY,,,Hastings-Sunrise,"49.29090459516368, -123.0336475496459"
,__FJ1B1U,,,Strathcona,"49.284029547650576, -123.08702725036164"
015587622,__FJ1AZI,,,Strathcona,"49.28232055647818, -123.08805751446808"
005406668,__FJ1AYK,,,Strathcona,"49.28271199228251, -123.0884439107411"
016012178,__FJ1AXG,,,Strathcona,"49.2836266823001, -123.08543413257138"
,__FIY4RQ,,,Dunbar-Southlands,"49.22849024190304, -123.19347041582124"
,__FJ22LM,,,Marpole,"49.20374038212995, -123.13207630874379"
,__FIY4RW,,,Dunbar-Southlands,"49.22689176531377, -123.19455740876478"
,__FIY4S6,,,Dunbar-Southlands,"49.22558020246859, -123.19486606923601"
,__FIY4TK,,,Dunbar-Southlands,"49.225805211080065, -123.19240777359916"
,__FIY4TE,,,Dunbar-Southlands,"49.22632323817611, -123.19209518751572"
026032317,__FLJY2C,,,Victoria-Fraserview,"49.230374809813945, -123.05127208121141"
,__FIY4T8,,,Dunbar-Southlands,"49.226359938202684, -123.19147250696834"
,__FIY4SS,,,Dunbar-Southlands,"49.22612128447424, -123.19388867179589"
,__FIY4S2,,,Dunbar-Southlands,"49.226617037402825, -123.19584764899436"
,__FIY4RK,,,Dunbar-Southlands,"49.22823807829608, -123.19285135075997"
,__FIY4RI,,,Dunbar-Southlands,"49.22818469776742, -123.19196181462591"
,__FIY4RC,,,Dunbar-Southlands,"49.22854677557932, -123.19221044561925"
,__FIY4TQ,,,Dunbar-Southlands,"49.22587972268062, -123.19118650533608"
,__FIY4R6,,,Dunbar-Southlands,"49.22875727729022, -123.19274281889138"
,__FIY4R2,,,Dunbar-Southlands,"49.22889656000849, -123.193092916417"
,__FIY4R0,,,Dunbar-Southlands,"49.22896956545442, -123.19327587667664"
,__FIY4QO,,,Dunbar-Southlands,"49.22716226517454, -123.19295198551151"
,__FIY4QM,,,Dunbar-Southlands,"49.22726880250982, -123.19271645458406"
,__FIY5I4,,,Dunbar-Southlands,"49.21796749017546, -123.18196177255304"
,__FIY4QK,,,Dunbar-Southlands,"49.22725730241702, -123.19249234450552"
,__FIY4QC,,,Dunbar-Southlands,"49.22718483556738, -123.19144823917524"
,__FIY4Q6,,,Dunbar-Southlands,"49.22783709763551, -123.19137933888616"
011534702,__FIY5OO,,,Shaughnessy,"49.25601660084873, -123.1422410942714"
,__FIY4R4,,,Dunbar-Southlands,"49.22882579830599, -123.19291820642022"
,__FIY4V8,,,Dunbar-Southlands,"49.226548268221634, -123.19396053876012"
,__FIY4VE,,,Dunbar-Southlands,"49.227403233421676, -123.19695310793178"
,__FIY4VO,,,Dunbar-Southlands,"49.22950462245877, -123.1946950210576"
,__FIY4SA,,,Dunbar-Southlands,"49.22554915933294, -123.19460487620853"
,__FIY4SM,,,Dunbar-Southlands,"49.22539853670525, -123.19297829926705"
,__FIY4SO,,,Dunbar-Southlands,"49.22604670896375, -123.19457625784092"
,__FIY4TA,,,Dunbar-Southlands,"49.22690805065227, -123.19141597884692"
,__FIY4TM,,,Dunbar-Southlands,"49.22624144532702, -123.1926724373756"
,__FIY4TO,,,Dunbar-Southlands,"49.22672012233065, -123.19259527090756"
,__FIY4V0,,,Dunbar-Southlands,"49.22689214222993, -123.19210704828528"
,__FIY4V4,,,Dunbar-Southlands,"49.22674129268688, -123.19364718856345"
,__FIY4V6,,,Dunbar-Southlands,"49.226646577874796, -123.19380490107463"
,__FIY4VG,,,Dunbar-Southlands,"49.226746895549354, -123.19708384648528"
,__FIY4W2,,,Dunbar-Southlands,"49.22908228711115, -123.19498222334087"
,__FIY4W8,,,Dunbar-Southlands,"49.22906835243066, -123.19467881627126"
,__FIY4X8,,,Kerrisdale,"49.21646967950811, -123.17857067740195"
,__FIY4ZE,,,Kerrisdale,"49.21610722507072, -123.17618552286143"
,__FIY4XA,,,Kerrisdale,"49.21611697060991, -123.17891611232868"
025982061,__FM4VU2,,,West End,"49.27793696988395, -123.13742780738322"
026090848,__FM4SPO,,,Strathcona,"49.26646940362161, -123.08274295319774"
,__FIY4X0,,,Kerrisdale,"49.21581717435566, -123.17047715708007"
,__FIY4WA,,,Dunbar-Southlands,"49.22900480561833, -123.19552817426022"
,__FIY4VS,,,Dunbar-Southlands,"49.229540962368496, -123.19582911263092"
026068311,__FM40G5,,,Strathcona,"49.28300759923696, -123.08199369010869"
,__FIY4S4,,,Dunbar-Southlands,"49.22643354594218, -123.1950430405169"
015232123,__FIY64G,,,Fairview,"49.26765299142339, -123.13954339997682"
,__FJ0PFQ,,,Hastings-Sunrise,"49.29049464227698, -123.03851135812803"
,__FJ22K8,,,Renfrew-Collingwood,"49.252970780225546, -123.02632518279349"
,__FJ0RYC,,,West End,"49.276386304783024, -123.13566431017472"
008601038,__FJ0S02,,,Downtown,"49.27860457946002, -123.12261021200432"
025006347,__FJ24Z2,,,Grandview-Woodland,"49.273995840262515, -123.07053040635557"
016012194,__FJ24W0,,,Strathcona,"49.283207238941834, -123.08371129451129"
,__FJ24OU,,,Downtown,"49.28145404254486, -123.12317161811912"
,__FJ24OQ,,,Downtown,"49.28178244410046, -123.12115839758758"
,__FJ24OE,,,Downtown,"49.28235005361022, -123.12123101230036"
,__FJ24OC,,,Downtown,"49.28225608975413, -123.11776943353185"
,__FJ24O0,,,Downtown,"49.28373515776415, -123.11673205078016"
,__FJ0RQQ,,,Fairview,"49.269898969430535, -123.13565879638932"
,__FJ24NS,,,Downtown,"49.282767387892484, -123.11773972751084"
015451151,__FJ0PB6,,,Hastings-Sunrise,"49.286375072313135, -123.0303966450626"
017759544,__FJ24LU,,,Downtown,"49.28733066934804, -123.11512074194012"
,__FJ169I,,,Killarney,"49.205268330363594, -123.05270823816313"
,__FJ24EM,,,Sunset,"49.205236926700394, -123.09328877073447"
,__FJ24BY,,,Kitsilano,"49.27748508905965, -123.15005904092382"
,__FJ24BU,,,Grandview-Woodland,"49.285746112397995, -123.06192175904145"
,__FJ24BS,,,Renfrew-Collingwood,"49.2340068693824, -123.02900379892756"
015687406,__FJ24AO,,,Grandview-Woodland,"49.28617066043828, -123.06513940775069"
016012097,__FPBS7A,,,Strathcona,"49.28704597285463, -123.0927592057303"
,__FJ24NQ,,,Downtown,"49.283635871046336, -123.11827806636613"
013610350,__FJ266M,,,Hastings-Sunrise,"49.275178445566084, -123.03142806944332"
013611551,__FJ266U,,,Hastings-Sunrise,"49.27601688846836, -123.03112270766755"
,__FJ2204,,,Marpole,"49.20443627941561, -123.11670468821008"
013424831,__FJ0Q4Q,,,Hastings-Sunrise,"49.28141032734265, -123.03138598217306"
013424980,__FJ0Q4S,,,Hastings-Sunrise,"49.28141025213446, -123.03166166091953"
,__FT0HNN,,,Downtown,"49.28855627360403, -123.11805927787935"
013425030,__FJ0Q4U,,,Hastings-Sunrise,"49.28140975676325, -123.03179501763974"
029292301,__FSSBQD,,,Killarney,"49.20351619528339, -123.0325353120509"
013424726,__FJ0Q4W,,,Hastings-Sunrise,"49.28139236979501, -123.03126497464153"
011107251,__FIZYXM,,,Shaughnessy,"49.2521253628676, -123.14991324596801"
005492726,__FIZYY2,,,Shaughnessy,"49.251865782073, -123.14996603751669"
006864392,__FIY9J2,,,Marpole,"49.207655060206285, -123.14878561486094"
011284811,__FJ0QIG,,,Kensington-Cedar Cottage,"49.2474590273265, -123.06493221329302"
,__FJ21KO,,,Grandview-Woodland,"49.28959385952237, -123.0600611817491"
,__FJ21KQ,,,Grandview-Woodland,"49.28684664442725, -123.06218959187167"
,__FJ21NC,,,Grandview-Woodland,"49.287767264649226, -123.07322619578025"
,__FJ21NE,,,Grandview-Woodland,"49.28499354443963, -123.0732070039342"
,__FJ21QO,,,West Point Grey,"49.274055141037955, -123.18916798888158"
015181740,__FIY8OU,,,Killarney,"49.231890766165975, -123.03169792580499"
,__FIY8F0,,,Marpole,"49.19987396763707, -123.130117897074"
,__FIY8EA,,,Marpole,"49.20177358753057, -123.12483619525867"
,__FIY8E6,,,Marpole,"49.20082365052817, -123.12681508078856"
,__FJ2202,,,Marpole,"49.20392592585419, -123.11827510456455"
013859226,__FIY8DE,,,Dunbar-Southlands,"49.252493796187416, -123.19441501198183"
027986608,__FNY9KI,,,Downtown,"49.28259338489128, -123.10795830928738"
,__FJ22LE,,,Marpole,"49.203367672548296, -123.1335377652558"
,__FIZ40E,,,Fairview,"49.2699768448837, -123.11838182862732"
011556714,__FIY89E,,,Dunbar-Southlands,"49.25263597576913, -123.1956028431764"
011556277,__FIY88S,,,Dunbar-Southlands,"49.25224603530708, -123.19559592958979"
,__FNHTCM,,,Dunbar-Southlands,"49.22708421238909, -123.19645351115905"
011556251,__FIY88Q,,,Dunbar-Southlands,"49.25224515444452, -123.19531904912157"
007260792,__FJ0PCK,,,Hastings-Sunrise,"49.286154614319294, -123.03227059015325"
016124464,__FNHFXN,,,Strathcona,"49.28447949663431, -123.07995387686594"
,__FIZ4FM,,,Mount Pleasant,"49.266866476556096, -123.10215023856868"
012227081,__FIY826,,,Dunbar-Southlands,"49.25315052938914, -123.19558714942099"
011573236,__FIY81W,,,Dunbar-Southlands,"49.253148119700775, -123.194894556909"
015713539,__FJ0PCU,,,Hastings-Sunrise,"49.28700136972754, -123.02952991192035"
011556366,__FIY88U,,,Dunbar-Southlands,"49.25224670093911, -123.19573403405207"
011573180,__FIY81O,,,Dunbar-Southlands,"49.253146352876826, -123.19434143176179"
011057483,__FIZ4QW,,,Mount Pleasant,"49.26336670679135, -123.11356556431429"
,__FJ1QTE,,,Grandview-Woodland,"49.289604104837814, -123.06193598324928"
,__FJ0UUC,,,Riley Park,"49.24203214702812, -123.09386062070035"
015687422,__FJ1QPS,,,Grandview-Woodland,"49.28589534507446, -123.06515573855681"
015687414,__FJ1QPQ,,,Grandview-Woodland,"49.286033881121114, -123.06515318468132"
027013391,__FNFNU3,,,Strathcona,"49.283380148318614, -123.0792403384833"
,__FIZ6WW,,,Sunset,"49.20517573901393, -123.09400092716714"
,__FIZ6X0,,,Sunset,"49.205466878715356, -123.09213916695778"
,__FNEL17,,,Hastings-Sunrise,"49.29167894295623, -123.04400959120574"
011573155,__FIY81K,,,Dunbar-Southlands,"49.2531454678832, -123.19406521961177"
011556315,__FIY88Y,,,Dunbar-Southlands,"49.25224757178864, -123.19601092823915"
011556382,__FIY890,,,Dunbar-Southlands,"49.25224822792941, -123.1961490326742"
011556552,__FIY892,,,Dunbar-Southlands,"49.25224889173296, -123.19628782421728"
011556692,__FIY89C,,,Dunbar-Southlands,"49.2526372877168, -123.19587972754185"
,__FNK2BY,,,Dunbar-Southlands,"49.226087509337496, -123.20001805349882"
,__FNK22E,,,Dunbar-Southlands,"49.22568183321139, -123.20005349810985"
,__FNK222,,,Dunbar-Southlands,"49.225633070882076, -123.20106321044346"
,__FNK21Z,,,Dunbar-Southlands,"49.22518549287501, -123.20080480264309"
,__FNK21Y,,,Dunbar-Southlands,"49.226205698773164, -123.19933078782927"
,__FNK21X,,,Dunbar-Southlands,"49.226332174776445, -123.19958981710688"
,__FNK21W,,,Dunbar-Southlands,"49.226413848061654, -123.19984693649117"
,__FNK20O,,,Dunbar-Southlands,"49.22654992075763, -123.20027212388118"
,__FNK209,,,Dunbar-Southlands,"49.224548477638464, -123.2001707827082"
,__FNK205,,,Dunbar-Southlands,"49.22505554025853, -123.20023876755208"
,__FNK204,,,Dunbar-Southlands,"49.225169241655884, -123.20008235763356"
,__FNK202,,,Dunbar-Southlands,"49.22535482561803, -123.19965979706761"
,__FNK1Y7,,,Dunbar-Southlands,"49.226100503555344, -123.19869118761174"
,__FNK1Y0,,,Dunbar-Southlands,"49.226378630133475, -123.19875810386034"
,__FNK1XS,,,Dunbar-Southlands,"49.22686374414703, -123.19980147704538"
,__FNK1XL,,,Dunbar-Southlands,"49.22706409775012, -123.20042345475969"
,__FNK1XJ,,,Dunbar-Southlands,"49.22713039071453, -123.20063197927368"
007990294,__FNJSOW,,,Kensington-Cedar Cottage,"49.252407196096016, -123.06531005355048"
,__FJ16US,,,Strathcona,"49.28690403550222, -123.09707700358331"
011556633,__FIY896,,,Dunbar-Southlands,"49.25263883216984, -123.1962947295125"
016010906,__FNKNXY,,,Strathcona,"49.283407012571864, -123.08312593244965"
015232140,__FIY64I,,,Fairview,"49.26765086957989, -123.13943823902353"
015233171,__FIY6IG,,,Fairview,"49.26731686149366, -123.13966767494696"
,__FIY4NG,,,Dunbar-Southlands,"49.22731056589744, -123.195915272195"
,__FJ2FFY,,,Grandview-Woodland,"49.28937317781933, -123.06541869006607"
,__FJ2FGS,,,Downtown,"49.27168639778769, -123.11886561622877"
007157843,__FIZZ1W,,,Fairview,"49.258330046966435, -123.14478134885792"
,__FJG3UZ,,,Killarney,"49.201831668502265, -123.02802132192062"
,__FJ23KK,,,Fairview,"49.27042529387635, -123.13497736751361"
,__FJG8LV,,,Dunbar-Southlands,"49.22763983842251, -123.1937655630408"
025982087,__FM4VTU,,,West End,"49.277958150980254, -123.13721803492278"
025982079,__FM4VTY,,,West End,"49.27818168296684, -123.13663975339543"
025975897,__FMTY58,,,Kitsilano,"49.27673001424464, -123.14010888631125"
,__FIZZ4A,,,Shaughnessy,"49.25343232167929, -123.14442111591002"
,__FMTY6C,,,West End,"49.27792467200309, -123.1382509570344"
011284544,__FMX37S,,,Kensington-Cedar Cottage,"49.248126933265716, -123.06491412752581"
026489457,__FN4RDZ,,,Mount Pleasant,"49.27055872233309, -123.10130686760186"
015631010,__FIZREO,,,Kensington-Cedar Cottage,"49.25204158220526, -123.08058702221021"
014685361,__FJ0PSA,,,Hastings-Sunrise,"49.282304333476816, -123.03180399391043"
014952025,__FJ0PS6,,,Hastings-Sunrise,"49.28230445601538, -123.03138874959414"
015380955,__FJ0PS4,,,Hastings-Sunrise,"49.282304493878634, -123.03124905150378"
007253079,__FJ0PRW,,,Hastings-Sunrise,"49.282688737005394, -123.03227708716427"
015288871,__FJ0PRS,,,Hastings-Sunrise,"49.28359706395422, -123.03138327246405"
015288854,__FJ0PRO,,,Hastings-Sunrise,"49.28359743794349, -123.0316610262143"
,__FMTY95,,,Kitsilano,"49.27712597698898, -123.14040973634987"
007363389,__FJ23UU,,,Fairview,"49.2672708089585, -123.11879502248122"
024041220,__FJ23VO,,,,"49.28979595405763, -123.10806305179847"
,__FJ23W4,,,,"49.29496080470241, -123.12294799994304"
,__FJ240U,,,Dunbar-Southlands,"49.22574695059564, -123.19835785736018"
,__FJ240Y,,,Dunbar-Southlands,"49.22552099286575, -123.19846057638446"
,__FJ2410,,,Dunbar-Southlands,"49.225726698836986, -123.1988568742336"
,__FJ2414,,,Dunbar-Southlands,"49.22532277953409, -123.19935014459618"
,__FJ241A,,,Dunbar-Southlands,"49.22524232409786, -123.19860960027384"
,__FJ241O,,,Victoria-Fraserview,"49.2064422927925, -123.06627015859252"
,__FJ241S,,,Victoria-Fraserview,"49.208714784551724, -123.07596757815615"
,__FJ243A,,,West Point Grey,"49.27424394087331, -123.1870130758658"
004945263,__FIZZU0,,,Renfrew-Collingwood,"49.251960231887885, -123.05371607667173"
,__FJ241C,,,Dunbar-Southlands,"49.2251488986277, -123.19868316947502"
,__FJ2418,,,Dunbar-Southlands,"49.225252800360614, -123.19895648042501"
,__FJ2416,,,Dunbar-Southlands,"49.22528848725589, -123.19915330830682"
,__FJ2412,,,Dunbar-Southlands,"49.225613028941645, -123.19890717927247"
,__FJ240Q,,,Dunbar-Southlands,"49.225965965660656, -123.1982593397551"
,__FJ23ZW,,,Killarney,"49.20507864990196, -123.04842687938113"
,__FIZ7DO,,,Marpole,"49.20347357135611, -123.11969729829033"
,__FJ23YI,,,Kensington-Cedar Cottage,"49.24413881677275, -123.06534400682119"
,__FJ23Y4,,,Downtown,"49.29427909902958, -123.13275989183096"
024044601,__FJ23Y2,,,Downtown,"49.294412742597935, -123.13411320679063"
002653541,__FJ2F2S,,,Hastings-Sunrise,"49.27555665775505, -123.03172206194313"
011154144,__FJ23XW,,,Hastings-Sunrise,"49.290866284134374, -123.02857112067048"
007253028,__FJ0PRG,,,Hastings-Sunrise,"49.28320416093395, -123.03227537481277"
,__FJ240O,,,Dunbar-Southlands,"49.22607825726525, -123.19820479722236"
014115620,__FJ0PR8,,,Hastings-Sunrise,"49.28411159628967, -123.03138515278687"
014115590,__FJ0PQW,,,Hastings-Sunrise,"49.28450146304965, -123.03165615985012"
,__FIZ0RC,,,Hastings-Sunrise,"49.29294957997204, -123.02586427953443"
011519291,__FIZ0QS,,,Hastings-Sunrise,"49.29236071935503, -123.02467862015665"
,__FIZ0P8,,,Hastings-Sunrise,"49.29154360620257, -123.03817940880846"
,__FIZ0NS,,,,"49.29450604527332, -123.02526633423936"
,__FIZ8EC,,,Victoria-Fraserview,"49.20568068120076, -123.06239027429235"
,__G2D4N4,,,Mount Pleasant,"49.26490786458622, -123.10167731279375"
015971091,__G2ELVG,,,Kensington-Cedar Cottage,"49.25013849405995, -123.0605171686276"
011556340,__FIZ03A,,,Dunbar-Southlands,"49.252245369509964, -123.19545782513073"
008786135,__FIYZUQ,,,Strathcona,"49.27236660366081, -123.08094741540859"
,__FIZ0RK,,,Hastings-Sunrise,"49.29229000122098, -123.0283921833501"
016531311,__FIYZTI,,,Strathcona,"49.276089521606245, -123.08121894195405"
007555806,__FJ2EX2,,,Downtown,"49.275025427976345, -123.13458292939123"
013942107,__FJ0OPU,,,Hastings-Sunrise,"49.27801598020401, -123.03144650820659"
005220181,__FJ0OPQ,,,Hastings-Sunrise,"49.27783427738209, -123.03144708011405"
025416502,__G6OK3P,,,Kerrisdale,"49.215606051966795, -123.1683942147174"
023374977,__G6OK3R,,,Kitsilano,"49.277869132721854, -123.14124337426584"
028613970,__G6OK3S,,,Kitsilano,"49.27767980446672, -123.14518948802615"
027128784,__G6OK3V,,,West End,"49.27836624588121, -123.14064336959319"
,__FJ18C6,,,Downtown,"49.286648405238466, -123.1005857357949"
028234294,__G6OK3Z,,,Downtown,"49.270559592656355, -123.11864201562759"
016012283,__FJ2EXS,,,Strathcona,"49.28350691759117, -123.08560829132549"
,__FIZ0RW,,,Hastings-Sunrise,"49.291432023503894, -123.03102191059385"
,__FIZ0S2,,,Hastings-Sunrise,"49.29229055409302, -123.02717769230814"
,__FNK20N,,,Dunbar-Southlands,"49.226616453933815, -123.2004771584691"
007255012,__FJ0PQU,,,Hastings-Sunrise,"49.28449813534368, -123.0322721767312"
015083012,__FJ0POK,,,Hastings-Sunrise,"49.28714959946283, -123.03280428955243"
023378590,__FJ2F7E,,,Downtown,"49.286503251370945, -123.11380122361467"
009727612,__FJ0PCY,,,Hastings-Sunrise,"49.28700122696079, -123.03008339443072"
015713512,__FJ0PCS,,,Hastings-Sunrise,"49.28700144919896, -123.02925282689091"
015713474,__FJ0PCO,,,Hastings-Sunrise,"49.28700114862106, -123.02869371991072"
007260806,__FJ0PCM,,,Hastings-Sunrise,"49.28615395275866, -123.03144003627939"
007260776,__FJ0PCI,,,Hastings-Sunrise,"49.28615481404058, -123.03312247136391"
010163867,__FJ0PCG,,,Hastings-Sunrise,"49.28594232699961, -123.03069061921792"
,__FNHTAJ,,,Dunbar-Southlands,"49.2270084204053, -123.19621407971621"
015451135,__FJ0PB4,,,Hastings-Sunrise,"49.28637503587788, -123.0305348420501"
015451101,__FJ0PB2,,,Hastings-Sunrise,"49.28637500059127, -123.03066808869748"
,__FNHTAK,,,Dunbar-Southlands,"49.22689407128109, -123.19635246840654"
,__FNHTAL,,,Dunbar-Southlands,"49.22679203681038, -123.19639017708802"
,__FNHTB1,,,Dunbar-Southlands,"49.22692861740704, -123.1967781398693"
,__FNK1XH,,,Dunbar-Southlands,"49.22719211086787, -123.20082661393943"
,__FNK1XN,,,Dunbar-Southlands,"49.226993794262484, -123.20020873408717"
,__FNK1Y2,,,Dunbar-Southlands,"49.22624102167203, -123.19871036097526"
,__FNK207,,,Dunbar-Southlands,"49.224942105058254, -123.19996113155193"
,__FNK208,,,Dunbar-Southlands,"49.224680201083345, -123.1992934895337"
,__FNK20A,,,Dunbar-Southlands,"49.22644760584969, -123.19826082730636"
011081406,__FJ0PR0,,,Hastings-Sunrise,"49.28458476571519, -123.03129885277266"
,__FJ240M,,,Dunbar-Southlands,"49.2261863785435, -123.19815869806361"
,__FJ00XY,,,Downtown,"49.272245310062495, -123.1145141157106"
,__FJ23Y8,,,Downtown,"49.29475881237414, -123.13352368972689"
015380971,__FJ0PSE,,,Hastings-Sunrise,"49.28270521446119, -123.03130237942622"
011573201,__FIY81S,,,Dunbar-Southlands,"49.2531472360527, -123.19461833100148"
011573228,__FIY81U,,,Dunbar-Southlands,"49.2531479028269, -123.19475645170975"
011573244,__FIY81Y,,,Dunbar-Southlands,"49.253148762558205, -123.19504132107535"
011724463,__FJ0PSG,,,Hastings-Sunrise,"49.28267734219271, -123.03125519956508"
012227013,__FIY820,,,Dunbar-Southlands,"49.2531494428365, -123.19516582379647"
012227056,__FIY824,,,Dunbar-Southlands,"49.25315031450552, -123.19544835713266"
015654010,__FJ1AIW,,,Grandview-Woodland,"49.28251426895713, -123.07566288376651"
012227153,__FIY82E,,,Dunbar-Southlands,"49.25315183154214, -123.19614024534084"
011573198,__FIY81Q,,,Dunbar-Southlands,"49.253147018848644, -123.19448022580492"
012227188,__FIY82I,,,Dunbar-Southlands,"49.25315314696475, -123.19641961987358"
007255071,__FJ0Q94,,,Hastings-Sunrise,"49.2852080636693, -123.03312176844703"
007253176,__FJ0Q4E,,,Hastings-Sunrise,"49.28140726844923, -123.0326220523735"
008016402,__FJ0PO8,,,Hastings-Sunrise,"49.289466672173546, -123.03061117614787"
011816236,__FJ0ON2,,,Hastings-Sunrise,"49.279763749956686, -123.03142342101471"
,__FJ0PJW,,,Hastings-Sunrise,"49.291076557875776, -123.03317320016787"
,__FJ0PJU,,,Hastings-Sunrise,"49.29114119407568, -123.03203621944893"
011154926,__FJ0PJS,,,Hastings-Sunrise,"49.2901518700005, -123.02981882528178"
014266334,__FJ0PDA,,,Hastings-Sunrise,"49.28697156389937, -123.03000265735523"
015713504,__FJ0PD6,,,Hastings-Sunrise,"49.28697178468924, -123.0291755280906"
007255098,__FJ0Q98,,,Hastings-Sunrise,"49.285013109155656, -123.0322711652603"
011573171,__FIY81M,,,Dunbar-Southlands,"49.25314613534176, -123.19420332656796"
015109259,__FJ0PS8,,,Hastings-Sunrise,"49.28230441839591, -123.03152693520491"
011573139,__FIY81G,,,Dunbar-Southlands,"49.253145489819254, -123.19378956069147"
007255004,__FJ0PQS,,,Hastings-Sunrise,"49.28430314008671, -123.03312316988675"
,__FIY4NC,,,Dunbar-Southlands,"49.22711076277029, -123.19535238390719"
,__FIY4NA,,,Dunbar-Southlands,"49.227127411548175, -123.19504449439826"
011081422,__FJ0PR2,,,Hastings-Sunrise,"49.28441790476295, -123.03130079597096"
,__FIY4N0,,,Dunbar-Southlands,"49.22741975281956, -123.19457803730636"
,__FIY4MY,,,Dunbar-Southlands,"49.22748134400148, -123.19486052532878"
,__FIY4MQ,,,Dunbar-Southlands,"49.227746657962754, -123.19624826320539"
,__FIY4MO,,,Dunbar-Southlands,"49.22792869788703, -123.19620960672859"
,__FIY4MK,,,Dunbar-Southlands,"49.22830319536487, -123.19603621779474"
,__FIY4M8,,,Dunbar-Southlands,"49.22925202274857, -123.1967412721971"
013293257,__FJ22S2,,,Marpole,"49.20222606178697, -123.1277389928021"
014115646,__FJ0PR4,,,Hastings-Sunrise,"49.28411241084874, -123.03166359722506"
014115611,__FJ0PRA,,,Hastings-Sunrise,"49.28411253497154, -123.0312406237993"
007252978,__FJ0PRC,,,Hastings-Sunrise,"49.28339865712111, -123.03312458532874"
007252986,__FJ0PRE,,,Hastings-Sunrise,"49.28359321146441, -123.03227428121252"
,__FIY4J4,,,Dunbar-Southlands,"49.22987805644841, -123.2070909914816"
015288901,__FJ0PRI,,,Hastings-Sunrise,"49.283207936868315, -123.03166501186449"
012227218,__FIY80M,,,Dunbar-Southlands,"49.253544450973116, -123.1964127899286"
015288919,__FJ0PRM,,,Hastings-Sunrise,"49.283207595008165, -123.03130200991612"
012227269,__FIY80Q,,,Dunbar-Southlands,"49.253544459149765, -123.19614853445151"
015380947,__FJ0PS2,,,Hastings-Sunrise,"49.28269346059389, -123.03152360824042"
015713466,__FJ0PD2,,,Hastings-Sunrise,"49.286971032412325, -123.02862274669646"
019130961,__FJ0PD0,,,Hastings-Sunrise,"49.28700160443187, -123.03035979218244"
