claim_key,entity_a,entity_b,relationship,source_type,source_note,reported_by,date_reported,confidence,status
success-abbreviation,SUCCESS Housing Society,SUCCESS,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'SUCCESS' is the org's common abbreviation.,,2026-08-07,unconfirmed,active
success-affordable-housing-society,SUCCESS Housing Society,SUCCESS Affordable Housing Society,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Likely a separately-registered affiliated society rather than pure formatting noise — recorded as common_owner, not same_entity; worth verifying.",,2026-08-07,unconfirmed,active
onni-onni-development-seymour-street-corp,Onni Group,Onni Development (Seymour Street) Corp,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
onni-onni-level-development-richards-corp,Onni Group,Onni Level Development (Richards) Corp,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
onni-onni-level-development-howe-corp,Onni Group,Onni Level Development (Howe) Corp,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
siddoo-holding-holdings-variant,Siddoo Kashmir Holding Limited,Siddoo Kashmir Holdings Ltd,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'Holding'/'Holdings' + 'Limited'/'Ltd' formatting variant.,,2026-08-07,unconfirmed,active
siddoo-ajmer-singh,Siddoo Kashmir Holding Limited,Ajmer Singh Siddoo,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Listed as 'Ajmer Singh Siddoo (Ajmer Siddoo)' — parenthetical shorthand dropped.,,2026-08-07,unconfirmed,active
vertone-full-name-variant,Ursula Vertone & Fred Vertone,Frederick D Vertone & Ursula H Vertone,same_entity,manual_research,"From vhd landlord_mapping.toml business-grouping research. Same two individuals, fuller name form and different ordering.",,2026-08-07,unconfirmed,active
wall-financial-corp-corporation-variant,Wall Financial Corp,Wall Financial Corporation,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'Corp' vs 'Corporation' formatting variant.,,2026-08-07,unconfirmed,active
pacific-cove-1079817-bc-ltd,Pacific Cove Properties,1079817 BC Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
pacific-cove-strathmore-lodge-ltd,Pacific Cove Properties,Strathmore Lodge Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
realstar-wesley-place,Realstar Group,Wesley Place Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
