addr_key,member_count_active,member_count_all,latest_membership_year
1027 davie st,0,1,
1028 barclay st,0,1,
1028 e 33rd ave,0,1,2018.0
10281 128a st,0,1,2020.0
1029 brothers pl,0,1,
103 16068 83 ave,0,1,2022.0
103 powell st,0,2,2018.0
1030 e 10th ave,0,1,2018.0
1030 e 7th ave,0,1,2021.0
1030 empress ave,0,1,
1030 robson st,0,1,
1030 trunk rd,0,1,
1030 w 11 ave,0,1,
1030 w 11th ave,0,1,2023.0
1030 w broadway,0,1,
10311 bissett dr,0,1,
1033 davie st,0,1,
1033 fourth ave,0,1,2018.0
1033 keefer st,1,2,2025.0
1034 e pender,0,1,2023.0
1035 fairfield rd,0,1,
1035 howie ave,0,1,
1035 pacific st,0,1,2020.0
10351 swinton cres,0,1,
1036 e 24th ave,0,1,2021.0
1036 nelson,0,1,
1036 nelson st,0,1,2022.0
10367 127b st,0,1,
1037 bayview pl,0,1,
1037 e 8th ave,0,1,
1038 lawson ave,0,1,2021.0
1039 burnaby st,0,1,
103a 611 e7th ave,0,1,
104 1125 w10th ave,0,1,
104 8430 jerichoe st,0,1,
1040 barclay st,0,1,2018.0
1040 e 50th ave,0,2,2020.0
1040 e 7th ave,0,1,2020.0
1040 e broadway,0,1,
1040 pacific st,0,2,
10405 jasper ave,0,1,
10431 no 1 rd,0,1,2022.0
10433 158 st,0,1,
1045 haro st,0,2,
1045 mcclure st,0,1,
1045 w 14 ave,0,1,2024.0
1045 w14 ave,0,1,
1046 w 12th ave,0,1,
10460 3 rd,0,2,
105 2235 40th ave w,0,1,
105 315 north nanaimo st,0,1,2024.0
105 8892 montcalm st,0,1,
105 988 w16th ave,0,1,
105 n templeton dr,0,1,2024.0
105 stanford ave w,0,1,
105 w 18,0,1,
1050 10th ave w,0,1,2018.0
1050 bidwell st,1,3,2025.0
1050 burrard st,0,2,
1050 e 12th ave,0,1,2018.0
1050 harwood st,0,2,2024.0
1050 smithe st,0,1,2023.0
1051 broughton st,1,2,2025.0
1051 e 10th ave,0,1,
10529 144 st,0,1,
1053 e 15th ave,0,1,
10530 santa monica dr,0,1,2018.0
1054 hillside ave,0,1,
1055 e broadway,0,1,2018.0
1055 e broadway vancouve,0,1,2021.0
1055 e pender st,0,1,
1055 harwood st,0,1,
1055 homer st,0,1,
1055 howie ave,0,1,2018.0
1055 rosamund rd,0,1,
1056 craigdarroch castle,0,1,
1058 nelson,0,1,
1058 nelson st,1,4,2025.0
1059 yarmouth st,0,1,
10593 128st surr,0,1,
106 2320 woodland dr,0,1,2020.0
106 2930 spruce st,0,1,2022.0
106 5450 vine st,0,1,
106 727 e 7th ave,0,1,2021.0
106 college park way,0,1,2020.0
1060 alberni st,0,1,2021.0
1060 e broadway,0,1,2024.0
1060 granville st,0,1,2021.0
1063 e 58th ave,0,1,
1064 e 51st ave,0,1,
10643 150 st,0,1,
1065 bute st,0,1,2023.0
1065 pacific st,0,1,
1065 w 10th ave,0,1,
1065 w 72nd ave,0,1,
1065 w 8 ave,0,1,2018.0
10651 seaham cres,0,1,
1066 e 8th ave,0,1,
1066 foul bay rd,0,1,
1066 harwood,0,1,2021.0
1067 e 12th ave,0,1,
106702 gloucester st,0,1,
1069 belmont cres,0,1,
107 3402 27th ave,0,1,
107 8739 osler st,0,1,2020.0
107 broadway e,1,1,2025.0
107 e broadway,0,19,2018.0
1070 13th ave e,0,1,
1070 connaught dr,0,1,2021.0
1070 townsite rd,0,1,
1072 kemano st,0,1,
1075 edgett rd,0,1,
1075 jervis st,0,2,2018.0
1075 w 14th ave,0,1,2024.0
1075 w broadway,0,1,2020.0
10754 150 st,0,1,
1076 sitka sq,0,1,2024.0
10777 university dr,0,2,
10788 number 5 rd,0,1,
1079 e41 ave,0,1,
108 15020 north bluff rd,1,1,2025.0
108 2326 eton st,0,1,
108 56th ave e,0,1,
108 ave dawson crk,0,1,
108 ave surre,0,1,
108 e 1st ave,0,1,
108 w cordova st,0,2,2024.0
108 w1 ave,0,1,2021.0
1080 gilford,0,1,
1080 pacific st,0,1,2018.0
1081 w 16 ave,0,1,
1081 w 8th ave,0,1,2018.0
10820 springmont dr,1,1,2025.0
10826 anderson cvs,0,1,
1083 e 14th ave,0,1,2018.0
10837 146th st,0,1,
1085 goldstream ave,0,1,
1086 bute #112,0,1,2018.0
1086 bute st,0,6,2024.0
1086 w11th vancouve,0,1,
10862 155 st,0,1,
1088 quebec st,0,1,
1088 richards st,0,1,2021.0
1088 w 12th ave,1,2,2025.0
10891 mortified rd,0,1,
109 8420 jellicoe st,0,1,
10900 westminster hwy,0,1,
1091 broughton st,0,1,2024.0
1095 bute st,0,1,
10964 springmont gate,0,1,
1099 marinaside cres,0,1,
1099 richards st,0,1,
10a 938 east broadway,0,1,2018.0
10th ave w,0,1,2020.0
11 601 bute st,0,1,
11 e 11th ave,1,1,2025.0
110 2255 cambridge st,0,1,2021.0
110 2425 brunswick st,0,1,
110 4th west st,0,1,
110 90 alexander stva,0,1,
110 menzies st,0,1,
110 w 10th ave,0,1,2020.0
110 w 10th vancouve,0,1,
1100 admirals rd,0,1,
1100 harwood st,0,1,
1100 hillside ave,0,1,
1100 jervis,0,1,2020.0
1100 jervis st,0,2,2022.0
11007 83rd ave nw,0,1,
1101 pacific,0,4,2021.0
1101 pacific st,0,12,2021.0
11016 third st,0,1,
1102 kilwinning st,0,1,
1103 1424 nelson st,0,1,2018.0
1103 black canary dr,0,1,2021.0
11030 136 st,0,1,
11030 ravine rd,0,1,
1104 cardero st,0,1,
1104 e 23rd,0,1,2021.0
1104 haro st,0,2,2024.0
1105 keefer st,0,1,
11051 warwick rd,0,1,
1106 pendrell st,0,1,
1107 thurlow st,0,1,2020.0
1107 w 14th,0,1,
1107 w 14th ave,0,2,2022.0
1108 1833 crowe st,0,1,2021.0
1109 688 abbott st,0,1,
1109 kensington ave,0,2,
111 8th st,0,1,
111 e pender st,0,1,
111 esplanade west,0,1,
111 n templeton dr,0,1,2021.0
111 w 10th ave,0,1,2018.0
111 w georgia st,0,3,2020.0
1110 cardero st,0,2,2024.0
1110 comox vancouve,0,1,2018.0
1110 e 27th st,0,1,
1110 lawrence ave,0,1,
1110 odlum dr,0,1,
1110 victoria,0,1,2018.0
11104 13a st,0,1,
1111 beach ave,0,1,2022.0
1111 jervis st,0,1,
1111 w 16th ave,0,1,2024.0
11111 cambie rd,0,1,
11119 no 1 rd,0,1,
1112 broughton st,0,9,2024.0
1112 e 21st,1,1,2025.0
1114 e 12th ave,0,1,
1115 cliff ave,0,1,
1115 fourth ave,0,2,
1115 nelson,0,1,2020.0
1115 nelson st,0,1,2022.0
1116 w 12th ave,0,1,2018.0
1117 comercial dr,0,1,
1117 hamilton st,0,1,
1119 munro st,0,1,
112 1110 howe st,0,1,2022.0
112 2320 trinity st,0,1,
112 esplanade,1,1,2025.0
112 nanaimo st,0,1,2024.0
112 white cap cv,0,1,
1120 barclay st,0,1,
1120 blanshard st,0,1,
1120 evergreen rd campbell riv,0,1,
1120 premier st,0,1,
1120 shawnigan/mill bay rd,0,1,
1122 burnaby st,0,1,2022.0
1122 gilford st,0,2,2020.0
1123 greenwood ave,0,1,
1123 nootka st,1,1,2025.0
11238 roxburgh rd,0,1,
1124 5115 garden city rd,0,1,
1124 e 10th ave,1,1,2025.0
1125 10th ave w,0,1,
1125 deep cove rd,0,1,
1125 e 14th ave,0,1,
1125 jervis st,0,1,2023.0
11250 loughren dr,0,1,
1126 barclay st,0,1,2022.0
1126 rockland ave,0,1,
11276 80th ave,0,1,2018.0
1128 quebec st,0,1,
1129 e 14th ave,0,2,2020.0
113 425 east 11th ave,0,1,2024.0
1130 broadway e,0,1,2024.0
1130 burnaby st,0,1,
1130 e broadway,0,2,
1130 e broadway vancouve,0,1,
1131 barclay st,0,2,
1131 burnaby st,0,3,2024.0
1132 e 12th ave,0,1,
1132 howie ave,0,1,2018.0
1132 w 64th ave,0,1,
1133 beach ave,0,1,2018.0
1133 hornby st,0,1,
1133 salsbury dr,0,1,2021.0
1134 burnaby st,0,1,
1134 burrard st,0,1,2021.0
1135 empress ave,0,1,
1135 o'flaherty gate,0,1,
1136 pacific st,0,1,2020.0
11362 royal cres,0,1,
1139 e 10th ave,0,1,2023.0
1139 pendrell st,0,1,2021.0
114 nicol st,0,1,
114 victoria dr,0,1,
1140 castle cres,0,1,
1140 cecile dr,0,3,
1140 pandora ave,0,1,2024.0
1140 pendrell,1,1,2025.0
1141 burnaby st,0,1,
1141 harwood st,1,1,2025.0
1142 e 23rd ave,0,1,
1143 e 13th ave,0,1,2022.0
1143 e pender st,0,1,
1144 windermere st,0,1,
1145 e 10th ave,0,1,
1145 pendrell st,0,1,2021.0
1145 pendrell st - 102 vancouve,0,1,
1147 quadra st,0,1,
1147 view st,0,1,
11471 284 st maple rdg,0,1,
1148 e 60th ave,0,1,
1148 victoria dr,0,1,2018.0
1149 coutts way prt,0,1,
115 2228 franklin st,0,1,2023.0
115 w 12th ave,0,1,2018.0
115 w 44th ave,0,1,2018.0
1150 barclay st,0,1,
1150 burnaby st,0,1,2021.0
1150 jervis st,0,2,2018.0
1150 jervis vancouve,0,1,
1150 w 12 ave,0,1,
1150 w 12th,0,1,
1150 w 8th ave,0,1,
1151 haro st,0,1,
1151 union st,0,1,2018.0
1153 lakewood dr,0,1,
1155 beach ave,0,3,2020.0
1155 burnaby st,0,2,
1155 commercial dr,0,1,2018.0
1155 harwood,0,1,
1155 harwood st,0,4,2020.0
1155 pandosy st,0,1,
1155 seymour st,0,2,2023.0
1155 seymour vancouve,0,1,
1155 sperling ave,0,1,
1155 union st,0,2,2018.0
1155 w 49th ave,0,1,
1156 e pender st,0,1,
1156 w 12 ave,0,1,
1156 w 12th ave,0,1,2023.0
1157 e 15th ave,0,1,2018.0
1159 kingsway,0,4,2021.0
1159 pendrell st,0,1,2024.0
115_14831 104ave,0,1,
115a st delta bc v4c 5p6,0,1,
116 e 16th ave,0,3,2020.0
1160 chateau pl,0,1,
1160 haro st,1,1,2025.0
1160 pendrell st,0,1,2021.0
1162 burdett ave,0,1,
1162 wendel pl,0,1,
1165 w 10th ave,0,1,2024.0
1166 mathers ave,0,1,
11673 7th ave,0,1,
11675 7th ave,0,1,
1168 pendrell st,0,2,
11681 88 a ave,0,1,
1169 pacific st,0,1,2022.0
1169 w 24 st,0,1,
1169 w 24th st,0,2,
117 rosemount ave,0,1,
1170 harwood st,1,2,2025.0
1171 e 14th ave,1,1,2025.0
1171 w 12th ave,0,1,
11714 96a ave,0,1,
1173 14th ave e,0,1,2024.0
11733 79a ave,0,1,
11737 82b ave,0,1,
1174 e 26th ave,0,1,
1175 14th ave e,1,1,2025.0
1175 e 14th ave,0,2,2024.0
1175 haro st,0,1,
1175 pacific st,0,1,2021.0
1176 glenayre dr prt,0,1,
1177 hornby st,0,1,
11771 mellis dr,0,1,
1178 e 13th ave,0,1,2018.0
1178 heffley cres,0,1,
11789 86 ave,0,1,
118 alexander st,0,4,2024.0
118 main st,0,1,2018.0
1180 victoria dr,1,1,2025.0
11820 no1 rd,0,1,
1185 quayside dr,0,1,
1186 victoria dr,0,1,
1188 howe st,0,2,
1188 lillooet st,0,1,2020.0
1188 pendrell st,0,1,2024.0
1189 howe st,0,1,2023.0
119 a st delta,0,1,
119 oswego st,0,1,
119 w pender st,0,1,
1190 e hastings,0,1,2020.0
1190 e hastings st,0,1,2018.0
1190 kilmer rd,0,1,
1190 lawson ave,0,1,
11902 91 st,0,1,
1191 w 12th ave,0,1,2022.0
1192 e hastings,0,1,2020.0
11932 95 ave,0,1,
1195 e 48th ave,0,1,
1195 spruce st,0,1,
1195 w 11th ave,0,2,2023.0
1195 w 8th ave,0,2,2018.0
1196 habgood st,0,1,
1198 w 70th ave,0,1,
1199 seymour st,0,1,
11b 1425 haro st,0,1,2018.0
12 athletes way,0,1,2018.0
12 laurel ave,0,1,
120 5th st e,0,1,
120 e 24th ave,0,1,
1200 w 10th ave,0,1,
1200 w georgia st,0,2,2018.0
1201 e georgia st,0,1,
1201 georgia st w,0,1,2021.0
1201 kiwanis mnr,0,1,
12018 sand point way ne,0,1,
1201b otter bay rd,0,1,
1202 harwood,0,1,2023.0
1204 e 14th ave,0,1,
1205 comox st,0,2,
1206 1022 nelson st,1,1,2025.0
1208 rockland ave,0,1,
1208 salsbury dr,0,1,
12080 92a ave,0,1,
1209 e 20 ave,0,1,
1209 jervis st,1,2,2025.0
121 w 11th ave,0,1,2018.0
1210 jerivs st,0,1,2020.0
1210 jervis,0,1,2018.0
1210 jervis st,1,7,2025.0
121014 rosecrans ave,0,1,
1211 cotton dr,0,1,
1212 howe st,0,1,2020.0
1212 vista hts,0,1,
12124 blossom st,0,1,
1214 hopkins pl,0,1,
1215 e 11th ave,0,1,2024.0
1215 w 10th ave,0,3,2020.0
1215 w 13th ave,0,2,
1216 victoria,0,1,2018.0
1216 victoria dr,0,1,2018.0
12170 york st,0,1,
1218 melville st,0,1,2018.0
1219 8th ave e,0,1,
12190 224th steet,0,1,
122 walter hardwick ave,0,1,2018.0
1220 cardero,0,1,2023.0
1220 cardero st,1,6,2025.0
1220 comox st,0,1,
1220 e pender st,0,1,
12208 92 ave,0,1,2020.0
1221 4th ave,0,1,
1221 bidwell st,0,2,
1221 burnaby st,0,2,
1221 e 22nd ave,0,1,
1221 homer st,0,2,2020.0
1221 seymour st,0,1,
1222 e 13th ave,0,1,
1222 e washington ave,0,1,
1222 pendrell st,0,1,2018.0
1224 robson st,0,2,2018.0
12248 224th st,0,1,
1225 cardero,0,1,2020.0
1225 cardero st,0,12,2024.0
1225 nelson st,0,3,2021.0
1226 rue sainte elisabeth,0,1,
1227 e 13th ave,0,4,2018.0
1227 e 23rd ave,0,1,
1228 nicola st,0,4,
123 13485 71 ave,0,1,
123 4 st,0,1,2018.0
123 fake st,0,1,
123 gorge rd e,0,1,
123 main st,0,1,
1230 burnaby st,0,1,
1230 fort st,0,1,
1230 nelson st,1,3,2025.0
1233 e 12th ave,0,1,2023.0
1233 e 13th ave,0,1,
1233 w 16th north vancouve,0,1,
12339 steveston hwy,0,1,
1234 barclay,0,1,
1234 barclay st,0,2,2018.0
1234 w 14th ave,0,2,
1234 w 14th vancouve,0,1,
1234 w georgia st,0,1,
1235 burnaby st,0,2,2022.0
1235 comox st,1,4,2025.0
1235 nelson st,1,3,2025.0
1235 w 13th ave,0,1,
1238 cardero st,0,1,2023.0
1239 w georgia st,0,2,2018.0
124 dunlevy ave,0,1,2024.0
124 warwick ave,0,1,
12409 harris rd,0,1,
1242 w 11th ave,0,1,2024.0
12421 trites rd,0,1,
1243 thurlow st,0,1,2020.0
1243 victoria dr,0,1,
1244 e 8th ave,0,1,
1245 nicola st,0,1,
1245 w 8th ave,0,1,2024.0
12451 73 ave,0,3,
1246 gladstone ave,0,1,
1246 haro st vancouver bc v6e 1e7,0,1,2022.0
1246 rue d'argenson,0,1,
1249 e 18th ave,0,1,2018.0
1249 e18th,0,1,2018.0
1249 howe st,0,1,
1249 victoria dr,0,1,
1249 w 7th,0,1,
12491 alliance dr,0,1,
125 10th ave w,0,1,2023.0
125 5th st w,0,1,
125 columbia st,0,1,
125 e 21 ave,0,1,2018.0
125 eighth st,0,1,
125 milross ave,0,2,2021.0
125 w 10th ave,0,3,2023.0
1250 bute st,0,1,2024.0
1250 comox,0,2,
1250 comox st,0,1,
12500 trites rd,0,1,2021.0
1251 cardero st,0,4,2020.0
1251 jervis st,0,2,
1252 14th st,0,1,
1252 hornby st,0,1,2018.0
1253 river dr,0,1,
1253 walnut st,0,1,
12535 97 ave,0,1,
1254 pendrell st,0,1,2018.0
1255 bidwell,0,1,2020.0
1255 bidwell st,0,2,2018.0
1255 comox st,0,1,
1256 pendrell st,0,1,2018.0
1256 w 11th ave,0,1,
12571 cambie rd,0,1,
1258 w broadway,0,1,
126 w 11th ave,0,1,
1260 bidwell st,0,1,2018.0
1260 e broadway,0,1,2024.0
1260 harwood st,0,3,2024.0
12609 98 ave,0,1,
1263 nicola st,0,3,2022.0
1265 12th ave w,0,1,2024.0
1265 13th ave w,0,1,
1265 burnaby st,0,4,2018.0
1265 cardero,0,1,2023.0
1265 cardero st,1,1,2025.0
1265 kingsway ave,0,1,
1265 w 13th ave,0,3,2024.0
1266 w 12 ave,0,1,
1266 w 12th ave,0,2,
1267 e 13th ave,0,1,
1267 w 70th ave,0,1,2024.0
127 portside ct,0,1,2024.0
1270 18 abe east,0,1,
1270 morgan rd,0,1,
1270 nicola st,0,1,
1275 haro st,0,3,2018.0
1275 pacific st,0,1,
1275 pembroke st,0,1,
1275 w 15th ave,1,2,2025.0
1277 hudson st,0,1,2020.0
128 cordova st w,0,1,
128 st,0,1,
128 w cordova st,0,2,2020.0
1280 haro st,0,1,2018.0
1281 broughton st,0,1,2018.0
1283 howe st,0,2,
1285 harwood st,1,2,2025.0
1285 kingsway,0,1,
1286 w 14th ave,0,1,2022.0
1287 w hastings st,0,1,
1288 broughton st,0,1,2022.0
1288 e 26th ave,0,1,2022.0
1288 fulton ave,0,1,
1288 w cordova st,0,1,2018.0
1288 w georgia st,0,1,
12882 26 ave,0,1,
12888 93 ave,0,1,2024.0
128th st surrey v3v5n6,0,1,
1290 w 13th ave,0,1,2023.0
1292 w 38 ave,0,1,2018.0
1295 w 12th ave,0,1,
1298 w 10th,0,1,
1298 w 10th ave,0,3,
12a 1000 sookepoint pl,0,1,
12a 328 taylor way,0,1,
12th st north vancouver v7l2m8,0,1,
13 brackenridge pl,0,1,
130 17th st e,0,1,
130 cedar ln,0,1,
130 e 15th ave,0,2,2020.0
1300 pendrell st,0,1,
1303 1055 homer st,0,1,2021.0
13039 huntley ave,0,1,2021.0
1304 cotton dr,0,1,
1305 w 12th ave,0,2,2024.0
1305 w 13th ave,1,1,2025.0
1306 bidwell st,0,1,
1309 franklin st,0,1,
131 alexander st,0,1,2022.0
131 cliffview dr,0,1,
131 e 16th ave,0,1,
131 fernway dr,0,1,
131 regiment sq,0,1,
131 rogimont sq,0,1,2018.0
131 w hastings st,0,1,2020.0
1310 burnaby,0,1,
13117 99 ave,0,1,
1312 e 8th ave,0,1,
13129 103a ave,0,1,
1315 broughton st,0,1,
1315 madison ave,0,1,2024.0
1316 w 11th ave,0,1,
1317 e 61st ave,0,1,
1318 thurlow st,0,3,
1320 bond st,0,1,
1320 bute st,0,2,
1320 cliffe ave,0,1,2020.0
1320 king albert ave,0,1,
1320 pandora ave,0,1,
1321 e 1st ave,0,1,2021.0
1322 e 34th ave,0,1,
13222 80 ave,0,1,
1325 marine dr,0,1,2018.0
1325 merritt st,0,1,
1325 rolston st,0,2,
13258 68 ave,0,1,
1326 e georgia st,0,1,2018.0
1326 w 13th ave 401,0,1,2024.0
1327 kamloops st,0,1,2018.0
1328 w pender st,0,1,
1329 e 12th ave,0,1,2018.0
133 e 7th ave,0,2,2023.0
133 gorge rd e,0,1,
133 w pender,0,1,2020.0
1330 bute st,0,1,
1330 gravely st,0,1,2018.0
1330 harwood st,0,1,2020.0
1330 jervis st,0,1,2018.0
1330 victoria dr,0,2,2021.0
13303 central ave,0,2,2021.0
1331 w geogia st,0,1,
1331 w georgia st,0,1,
1332 chesterman beach rd,0,1,
1332 salsbury dr,0,1,
13325 102a ave,0,1,
1332a e 2nd ave,0,2,2021.0
1333 e 7th ave,0,1,
1333 e broadway,0,1,
1333 haro st,0,1,2024.0
1333 hornby st,0,2,2024.0
1334 e 41st ave,0,1,
13340 60 ave,0,1,2024.0
1335 williamsport dr,0,1,2024.0
13350 old yale rd,0,1,
1335b walnut st,0,1,
1336 11 ave w,0,1,
1336 w 11th ave,0,1,
13364 102 ave,0,1,
1337 cotton dr,0,1,
1337 ottawa ave,1,1,2025.0
1337 saunders st,0,1,
1338 e 37th ave,0,1,
13380 108 ave,0,1,
1339 graveley,0,1,2020.0
1339 graveley st,0,1,
13399 104 ave,0,1,
134 powell st,0,1,
134 w 12 ave,0,1,2024.0
1340 burnaby st,0,1,
1340 w 12th ave,0,2,2024.0
1341 e 3rd,0,1,
1343 e 13th ave,0,1,
13438 central ave,0,1,
1344 e 41st ave,0,1,
1345 pandora ave,0,1,
1346 cotton dr,0,2,
1346 w 13th ave,1,1,2025.0
13460 70b ave,0,1,
1347 nicola st,0,1,
1348 barclay st,0,2,
1349 e 2nd ave,0,2,2020.0
135 19th st e,0,2,2024.0
135 liberty st,0,1,
1350 helen rd,0,1,
13507 96 ave,0,1,
1351 merklin ave,0,1,2020.0
13515 sumac ln,0,1,
13528 96 ave,0,1,
13536 marine dr,0,1,
1354 e 18th ave,0,1,
13540 60 ave,0,1,
1355 harwood st,0,1,
1355 pendrell st,0,3,2024.0
1355 w12th ave,0,1,
13550 105 ave,0,1,2018.0
1357 e 15,0,1,
1357 w 10th ave,0,1,2020.0
1358 e 35th ave,0,1,
1359 55th ave e,0,1,2018.0
1359 easy 2nd ave,0,1,
1360 burnaby st,0,1,2023.0
1360 hornby st,0,1,
13601 96 ave,0,1,
1361 bute st,0,1,
13615 fraser hwy,0,1,
1362 e 1st ave,0,1,
1364 10th ave w,0,1,2024.0
1364 e 12th ave,0,1,2021.0
1364 e 12th st,0,1,
1364 w 11 ave,0,1,2022.0
1364 w 11th ave,0,1,
1364 w11th ave,0,1,2021.0
1365 hastings st,0,1,
1366 w 12th ave,0,3,2024.0
1366 w 13 ave,0,1,2024.0
1366 w 13th ave,0,1,
1367 e 15th ave,0,1,
1368 26th ave,0,1,2023.0
1368 pandora ave,0,1,
13685 102 ave,0,1,
1370 davie st,0,2,
1370 e 1st ave,0,1,
1370 jervis,0,1,2020.0
1371 harwood st,0,2,
1373 w 73rd ave,0,1,2020.0
1373 w73 ave,0,1,
13732 91a ave,0,1,2018.0
1374 grant st,0,2,2024.0
1375 e 35th ave,1,1,2025.0
1375 nicola st,0,1,2018.0
1375 w 67th ave,0,1,2023.0
13750 100 ave,0,1,
1376 e 35th ave,1,1,2025.0
1378 e 26 ave,0,1,2020.0
13789 76 ave,0,1,
1379 howe st,0,1,
138 e hastings,0,1,
1380 jervis st,0,1,2020.0
1381 e 20th ave,0,1,2024.0
1383 e broadway,0,1,
1384 w 32nd ave,0,1,
13840 78a ave,0,2,
1385 w 12th,1,1,2025.0
1386 nicola st,0,1,2020.0
1386 w 73 ave,0,1,2020.0
1386 w73 ave,0,1,2020.0
1388 homer st,0,1,2024.0
1388 nelson st,0,1,
1388 w 6th ave,0,1,
13883 old dewdney trunk rd,0,1,2018.0
13888 70 ave,0,1,2024.0
1389 commercial dr,0,1,
1391 17 ave e,1,1,2025.0
1394 e 24th st,0,1,
1395 14th ave w,0,2,
1395 beach ave,0,4,2018.0
1395 w 12th ave,0,1,2024.0
1395 w 13th,0,1,
1395 w 14th ave,0,4,2024.0
13955 laurel dr - 206 surre,0,1,
1396 w 11th ave,0,1,2023.0
1397 w 71st ave,0,1,2021.0
1399 barclay st,0,1,
13th ave,0,1,
13th ave & commercial,0,1,2018.0
13th ave east,0,1,
140 5307 victoria dr,0,1,2018.0
140 n kootenay st,0,1,2018.0
1400 cotton dr,0,1,
1400 lewis dr,0,1,
1400 riverside dr,0,1,
1401 alberni st,0,1,
1401 cartier ave,0,1,
1401 fort st,0,1,
1404 e 21st ave,0,1,2018.0
1404 parker st,0,1,
1406,0,1,2018.0
1406a w 11th ave,0,1,2021.0
1407 glenview ct,0,1,
1408 21st ave e,0,1,2024.0
1408 e 15th ave,0,2,2024.0
141 6th st e,0,1,
141 b st,0,1,
1410 e 12th ave,0,1,2020.0
1410 venables,0,1,
1410 w 13th ave,0,2,
1411 commercial dr,1,2,2025.0
1412 e 37th ave,0,1,
14121 90a ave,0,1,
1414 barclay st,0,2,2021.0
1414 robson st,0,1,2020.0
1415 e broadway st,0,1,2020.0
14154 88 ave,0,1,
1416 e 13th ave,0,4,2018.0
1416 haro st,0,1,2023.0
1416 harwood st,0,1,
14165 110 ave,0,1,
1418 e 37th ave,0,1,
1420 e 37th ave,0,1,
1420 e 8th ave,0,1,2023.0
1420 madrona pl,0,1,
1420 w 11th ave,1,1,2025.0
1421 2nd ave e,0,1,
1421 burnaby st,0,2,
1421 e 2nd ave,0,1,2023.0
1421 maple st,0,1,
14218 103a ave,0,1,
1422 8th ave,0,1,2018.0
1422 victoria dr,0,1,2023.0
1423 austin ave,0,1,
1424 e 13th ave,0,2,2021.0
1424 e 15th ave,0,1,2024.0
1424 e 58th ave,0,1,2021.0
1424 nelson st,0,2,2023.0
1424 queen st w,0,1,
14241 72a ave,0,1,2024.0
1425 e 21st ave,0,1,2018.0
1425 haro st,0,2,2018.0
1425 w 10th ave,0,1,
1425 w 11th ave,0,1,2023.0
1425 w 71st ave,1,1,2025.0
14262 90a ave,0,1,
1428 parkway blvd,0,1,
1429 e 4th ave,0,1,
1429 vining st,0,1,
1430 e 37th,0,1,
1430 maple st,0,3,2018.0
1430 w 13th ave,0,1,2021.0
1432 60 st e,0,1,
1432 diefenbaker dr,0,1,
1433 harwood st,0,1,2018.0
1434 line 6 rd,0,1,2020.0
1435 commercial dr,0,1,
